Time (s),Frequency (Hz)
4e-05,0.00148
0.00024,0.00128
0.00044,0.00116
0.00064,0.00108
0.00084,0.001
0.00104,0.004
0.00124,0.004
0.00144,0.004
0.00164,0.004
0.00184,0.004
0.00196,0.0008
0.00204,0.004
0.00216,0.0008
0.00228,0.004
0.00248,0.004
0.00272,0.00092
0.00292,0.00088
0.00312,0.00088
0.00328,0.00368
0.00348,0.00132
0.00368,0.00128
0.00388,0.00132
0.00408,0.00152
0.00428,0.00196
0.00448,0.00228
0.00468,0.00252
0.00488,0.00272
0.00508,0.00292
0.00528,0.00316
0.00548,0.00364
0.00568,0.004
0.00588,0.004
0.00608,0.004
0.00628,0.004
0.00648,0.004
0.00668,0.004
0.00688,0.004
0.00708,0.004
0.00728,0.004
0.00748,0.004
0.0076,8e-05
0.00772,0.004
0.00792,0.004
0.00812,0.004
0.0082,8e-05
0.00832,0.004
0.00852,0.004
0.00872,0.004
0.00892,0.004
0.00912,0.004
0.00932,0.004
0.00952,0.004
0.00972,0.004
0.00992,0.004
0.01012,0.00368
0.01032,0.00336
0.01052,0.00328
0.01072,0.00324
0.01092,0.00324
0.01112,0.00328
0.01132,0.00332
0.01152,0.0034
0.01172,0.00352
0.01192,0.00364
0.01212,0.0038
0.01232,0.004
0.01252,0.004
0.01272,0.004
0.01292,0.004
0.01312,0.004
0.01332,0.004
0.01352,0.004
0.01372,0.004
0.01392,0.004
0.01412,0.004
0.01432,0.004
0.01452,0.004
0.01472,0.004
0.01492,0.004
0.015,0.0004
0.01512,0.004
0.0152,0.0004
0.01532,0.004
0.0154,0.00036
0.01548,0.004
0.01568,0.004
0.01588,0.004
0.01608,0.004
0.01628,0.004
0.01648,0.004
0.01668,0.004
0.01688,0.004
0.01708,0.004
0.01728,0.004
0.01748,0.004
0.01768,0.004
0.01788,0.004
0.01808,0.004
0.01816,8e-05
0.01828,0.004
0.01848,0.004
0.01868,0.004
0.01888,0.004
0.01908,0.004
0.01928,0.004
0.01948,0.004
0.01968,0.004
0.01988,0.004
0.02008,0.004
0.02028,0.004
0.02048,0.004
0.02068,0.004
0.02088,0.004
0.02108,0.004
0.02128,0.004
0.02148,0.004
0.02168,0.004
0.02188,0.004
0.02208,0.004
0.02228,0.004
0.02248,0.004
0.02268,0.004
0.02288,0.004
0.02308,0.004
0.02328,0.004
0.02348,0.004
0.02368,0.004
0.02388,0.004
0.02408,0.004
0.02428,0.004
0.02448,0.004
0.02468,0.004
0.02488,0.004
0.02508,0.004
0.02528,0.004
0.02544,0.004
0.02564,0.004
0.02584,0.004
0.02596,8e-05
0.02604,0.004
0.02624,0.004
0.02644,0.004
0.02664,0.004
0.02684,0.004
0.02704,0.004
0.02724,0.004
0.02744,0.004
0.02764,0.004
0.02784,0.004
0.02804,0.004
0.02824,0.004
0.02836,0.0004
0.02844,0.004
0.02856,0.00032
0.02864,0.004
0.02884,0.004
0.02904,0.004
0.02924,0.004
0.02944,0.004
0.02964,0.004
0.02984,0.004
0.03004,0.004
0.03024,0.004
0.03044,0.004
0.03056,0.00012
0.03064,0.004
0.03088,0.004
0.03108,0.004
0.03128,0.004
0.03148,0.004
0.03168,0.004
0.03188,0.004
0.03208,0.004
0.03228,0.004
0.03248,0.004
0.03268,0.0038
0.03288,0.00352
0.03308,0.00328
0.03328,0.00304
0.03352,0.00084
0.03372,0.00076
0.03388,0.00088
0.03408,0.0008
0.03428,0.00076
0.03448,0.0008
0.03468,0.00172
0.03484,0.0038
0.03504,0.00344
0.03524,0.00308
0.03544,0.0028
0.03564,0.0026
0.03584,0.00244
0.03604,0.00232
0.03612,0.00032
0.03624,0.00224
0.03632,0.00036
0.03644,0.00216
0.03652,0.00044
0.0366,0.004
0.0368,0.004
0.037,0.004
0.0372,0.004
0.0374,0.004
0.0376,0.004
0.0378,0.004
0.038,0.004
0.0382,0.004
0.0384,0.004
0.0386,0.004
0.0388,0.004
0.03896,0.004
0.03916,0.004
0.03936,0.004
0.03956,0.00396
0.03976,0.00376
0.03996,0.0036
0.04016,0.00344
0.04036,0.00336
0.04056,0.00328
0.04076,0.00324
0.04096,0.0032
0.04116,0.0032
0.04136,0.0032
0.04156,0.0032
0.04176,0.0032
0.04196,0.00324
0.04216,0.00328
0.04236,0.00332
0.04256,0.0034
0.04276,0.00348
0.04296,0.0036
0.04316,0.00376
0.04336,0.00392
0.04356,0.004
0.04376,0.004
0.04396,0.004
0.04416,0.004
0.04436,0.004
0.04456,0.004
0.04476,0.004
0.04496,0.004
0.04504,0.00044
0.04516,0.004
0.04536,0.004
0.04544,0.00128
0.04556,0.004
0.04564,0.00156
0.04576,0.004
0.04584,0.00172
0.04604,0.0018
0.04624,0.00192
0.04644,0.00196
0.04664,0.00204
0.04676,8e-05
0.04684,0.00212
